I,k,lot,hit,ws,rh,ap,moonlight,toy
1,1,19,21,15,93,1015,12.6,2
1,2,17,20,13,71,1030,19.6,2
1,3,17,20,13,70,1029,27.9,2
1,4,17,20,8,65,1026,37,2
1,5,13,19,8,70,1026,46.7,2
1,6,15,20,8,70,1025,56.8,2
1,7,15,20,6,76,1020,66.9,2
