I,k,lot,hit,ws,rh,ap,moonlight,toy
1,1,15,21,8,63.5,1032,19.6,2
1,2,14,20,11,63.5,1031,27.8,2
1,3,14,20,8.5,66.5,1030,37,2
1,4,13,20,10.5,70,1026,46.7,2
1,5,14,19,8.5,77.5,1025,56.8,2
1,6,15,21,8,74,1024,66.9,2
1,7,12,21,7,83,1018,76.5,2
